original_idx,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
0,-2.199511571304455,18.0,2.31,0,0.5379999999999999,6.575,65.2,4.09,1,296,-1.3957494537580664,396.9,1.938256611743444,24.0
1,-1.3769912327958165,0.0,7.07,0,0.469,6.421,78.9,4.9671,2,242,-0.5258182504646595,396.9,2.8769825258277377,21.6
2,-1.3773906532776234,0.0,7.07,0,0.469,7.185,61.1,4.9671,2,242,-0.5258182504646595,392.83,1.6403874956810713,34.7
3,-1.2846611708912632,0.0,2.18,0,0.45799999999999996,6.9979999999999976,45.8,6.0622,3,222,-0.08999868753999354,394.63,1.222396393474077,33.4
4,-0.8816361039558303,0.0,2.18,0,0.45799999999999996,7.147,54.2,6.0622,3,222,-0.08999868753999354,396.9,2.0369245470719317,36.2
5,-1.3285991640072043,0.0,2.18,0,0.45799999999999996,6.43,58.7,6.0622,3,222,-0.08999868753999354,394.12,2.003674797646323,28.7
6,-0.7539302199856693,12.5,7.87,0,0.524,6.0120000000000005,66.6,5.5605,5,311,-1.4222575652151794,395.6,3.404145974000547,22.9
7,-0.5024332247641144,12.5,7.87,0,0.524,6.1720000000000015,96.1,5.9505,5,311,-1.4222575652151794,396.9,4.21047142468078,27.1
8,-0.3132184007520897,12.5,7.87,0,0.524,5.631,100.0,6.0821,5,311,-1.4222575652151794,386.63,5.131320013273121,16.5
9,-0.42096494219846803,12.5,7.87,0,0.524,6.004,85.9,6.5921,5,311,-1.4222575652151794,386.71,3.991499850803411,18.9
10,-0.2823551244825927,12.5,7.87,0,0.524,6.3770000000000024,94.3,6.3467,5,311,-1.4222575652151794,392.52,4.340106637610752,15.0
11,-0.6074937575661692,12.5,7.87,0,0.524,6.0089999999999995,82.9,6.2267,5,311,-1.4222575652151794,396.9,3.52111044983175,18.9
12,-0.7228213449559038,12.5,7.87,0,0.524,5.888999999999999,39.0,5.4509,5,311,-1.4222575652151794,390.5,3.831194347771766,21.7
13,0.20988168227757936,0.0,8.14,0,0.5379999999999999,5.949,61.8,4.7075,4,307,1.4512461652389805,396.9,2.711325869538903,20.4
14,0.21587931453112355,0.0,8.14,0,0.5379999999999999,6.096,84.5,4.4619,4,307,1.4512461652389805,380.02,3.0708617657640547,18.2
15,0.20813278661406612,0.0,8.14,0,0.5379999999999999,5.834,56.5,4.4986,4,307,1.4512461652389805,395.62,2.752052323681203,19.9
16,0.44498750441427565,0.0,8.14,0,0.5379999999999999,5.935,29.3,4.4986,4,307,1.4512461652389805,386.85,2.352873673936957,23.1
17,0.3109289754741666,0.0,8.14,0,0.5379999999999999,5.99,81.7,4.2579,4,307,1.4512461652389805,386.75,3.7039284586336088,17.5
18,0.3215978489870174,0.0,8.14,0,0.5379999999999999,5.456,36.6,3.7965,4,307,1.4512461652389805,288.99,3.2959344979944953,20.2
19,0.27542816205317966,0.0,8.14,0,0.5379999999999999,5.727,69.5,3.7965,4,307,1.4512461652389805,390.95,3.2336833061733574,18.2
20,0.5218784317181591,0.0,8.14,0,0.5379999999999999,5.57,98.1,3.7979,4,307,1.4512461652389805,376.57,4.394945917959156,13.6
