original_idx,RM,LSTAT,RAD,CRIM,PTRATIO,DIS,ZN,NOX,CHAS,B,TAX,INDUS,AGE,MEDV
2,,,,,,4.9671,0.0,0.469,0,392.83,242,7.07,61.1,34.7
35,,,,,,3.3603,0.0,0.499,0,396.9,279,5.96,68.2,18.9
38,,,,,,3.8473,0.0,0.499,0,393.43,279,5.96,30.2,24.7
86,,,,,,4.4272,0.0,0.449,0,395.99,247,4.49,45.1,22.5
97,,,,,,3.4952,0.0,0.445,0,396.9,276,2.89,76.0,38.7
98,,,,,,3.4952,0.0,0.445,0,393.53,276,2.89,36.9,43.8
113,,,,,,2.548,0.0,0.547,0,396.9,432,10.01,95.4,18.7
114,,,,,,2.2565,0.0,0.547,0,388.74,432,10.01,84.2,18.5
118,,,,,,2.4775,0.0,0.547,0,338.63,432,10.01,73.1,20.4
125,,,,,,1.9929,0.0,0.581,0,385.02,188,25.65,88.4,21.4
148,,,,,,1.5296,0.0,0.871,0,356.99,403,19.58,93.8,17.8
152,,,,,,1.6102,0.0,0.871,1,343.28,403,19.58,88.0,15.3
155,,,,,,1.7455,0.0,0.871,1,88.01,403,19.58,82.6,15.6
167,,,,,,2.4259,0.0,0.605,0,227.61,403,19.58,79.2,23.8
173,,,,,,2.6463,0.0,0.51,0,395.5,296,4.05,84.1,23.6
176,,,,,,3.5549,0.0,0.51,0,393.23,296,4.05,47.2,23.2
181,,,,,,2.5979,0.0,0.488,0,396.9,193,2.46,62.2,36.2
186,,,,,,3.1992,0.0,0.488,0,392.63,193,2.46,53.6,50.0
208,,,,,,4.2392,0.0,0.489,1,381.32,277,10.59,59.1,24.4
213,,,,,,3.9454,0.0,0.489,0,385.81,277,10.59,32.3,28.1
221,,,,,,3.048,0.0,0.507,1,395.24,307,6.2,91.3,21.7
224,,,,,,2.8944,0.0,0.504,0,385.05,307,6.2,78.3,44.8
229,,,,,,3.3751,0.0,0.504,0,380.34,307,6.2,21.4,31.5
294,,,,,,5.5027,0.0,0.43700000000000006,0,396.9,289,13.92,42.3,21.7
310,,,,,,2.5194,0.0,0.544,0,350.45,304,9.9,37.8,16.1
313,,,,,,3.2628,0.0,0.544,0,393.39,304,9.9,82.8,21.6
315,,,,,,3.945,0.0,0.544,0,396.42,304,9.9,77.7,16.2
317,,,,,,4.0317,0.0,0.544,0,396.9,304,9.9,71.7,19.8
329,,,,,,5.2146,0.0,0.46,0,375.21,430,3.24,17.2,22.6
339,,,,,,4.8122,0.0,0.515,0,396.9,224,5.19,45.4,19.0
500,,,,,,2.4982,0.0,0.585,0,396.9,391,9.69,79.7,16.8
505,,,,,,2.505,0.0,0.573,0,396.9,273,11.93,80.8,11.9
257,,,,,13.0,1.801,20.0,0.647,0,389.7,264,3.97,86.9,50.0
265,,,,,13.0,1.9865,20.0,0.647,0,392.4,264,3.97,62.8,22.8
266,,,,,13.0,2.1329,20.0,0.647,0,384.07,264,3.97,84.6,30.7
145,,,,,14.7,1.4191,0.0,0.871,0,172.91,403,19.58,100.0,13.8
147,,,,,14.7,1.4608,0.0,0.871,0,391.71,403,19.58,95.7,14.6
153,,,,,14.7,1.6232,0.0,0.871,0,261.95,403,19.58,98.5,19.4
160,,,,,14.7,1.7984,0.0,0.605,1,338.92,403,19.58,92.6,27.0
282,,,,,14.9,5.2119,20.0,0.4429,1,377.07,216,3.33,49.7,46.0
12,,,,,15.2,5.4509,12.5,0.524,0,390.5,311,7.87,39.0,21.7
342,,,,,15.9,6.2669,0.0,0.518,0,389.96,422,1.89,59.7,16.5
217,,,,,16.4,3.4211,0.0,0.55,0,392.78,276,13.89,85.1,28.7
330,,,,,16.9,5.8736,0.0,0.46,0,368.57,430,3.24,32.2,19.8
227,,,,,17.4,3.2157,0.0,0.504,0,372.08,307,6.2,79.9,31.6
228,,,,,17.4,3.3751,0.0,0.504,0,377.51,307,6.2,17.0,46.7
234,,,,,17.4,3.6519,0.0,0.507,1,360.2,307,6.2,66.5,29.0
236,,,,,17.4,4.148,0.0,0.507,1,388.45,307,6.2,76.5,25.1
237,,,,,17.4,4.148,0.0,0.507,0,390.07,307,6.2,71.6,31.5
41,,,,,17.9,5.7209,0.0,0.44799999999999995,0,385.41,233,6.91,2.9,26.6
42,,,,,17.9,5.7209,0.0,0.44799999999999995,0,383.37,233,6.91,6.6,25.3
45,,,,,17.9,5.1004,0.0,0.44799999999999995,0,396.9,233,6.91,33.8,19.3
95,,,,,18.0,3.4952,0.0,0.445,0,357.98,276,2.89,57.8,28.4
99,,,,,18.0,3.4952,0.0,0.445,0,396.9,276,2.89,62.5,33.2
214,,,,,18.6,3.5875,0.0,0.489,0,348.93,277,10.59,9.8,23.7
75,,,,,18.7,4.5026,0.0,0.43700000000000006,0,383.23,398,12.83,45.0,21.4
324,,,,,19.6,4.7211,0.0,0.493,0,396.9,287,7.38,40.1,25.0
338,,,,,20.2,4.8122,0.0,0.515,0,396.14,224,5.19,37.3,20.6
457,,,,,20.2,2.7792,0.0,0.713,0,3.5,666,18.1,80.3,13.5
18,,,,,21.0,3.7965,0.0,0.5379999999999999,0,288.99,307,8.14,36.6,20.2
216,,,,0.0456,16.4,3.1121,0.0,0.55,1,392.8,276,13.89,56.0,23.3
88,,,,0.0566,17.8,3.4217,0.0,0.489,0,396.9,270,3.41,86.3,23.6
501,,,,0.06262999999999999,21.0,2.4786,0.0,0.573,0,391.99,273,11.93,69.1,22.4
120,,,,0.06899,19.1,2.2577,0.0,0.581,0,389.15,188,25.65,69.7,22.0
121,,,,0.07165,19.1,2.1974,0.0,0.581,0,377.67,188,25.65,84.1,20.3
74,,,,0.07896,18.7,4.2515,0.0,0.43700000000000006,0,394.92,398,12.83,6.0,24.1
491,,,,0.10574000000000001,20.1,1.8681,0.0,0.609,0,390.11,711,27.74,98.8,13.6
110,,,,0.10793,20.9,2.7778,0.0,0.52,0,393.49,384,8.56,54.4,21.7
219,,,,0.11425,16.4,3.3633,0.0,0.55,1,393.74,276,13.89,92.4,23.0
106,,,,0.1712,20.9,2.211,0.0,0.52,0,395.67,384,8.56,91.9,19.5
312,,,,0.26169000000000003,18.4,2.8339999999999996,0.0,0.544,0,396.3,304,9.9,90.4,19.4
494,,,,0.27957,19.2,2.3817,0.0,0.585,0,396.9,391,9.69,42.6,24.5
496,,,,0.2896,19.2,2.7986,0.0,0.585,0,396.9,391,9.69,72.9,19.7
128,,,,0.32543,21.2,1.8125,0.0,0.624,0,396.9,437,21.89,98.8,18.0
235,,,,0.33045,17.4,3.6519,0.0,0.507,0,376.75,307,6.2,61.5,24.0
226,,,,0.38214000000000004,17.4,3.2157,0.0,0.504,0,387.38,307,6.2,86.5,37.6
231,,,,0.46296000000000004,17.4,3.6715,0.0,0.504,0,376.14,307,6.2,76.9,31.7
319,,,,0.47547,18.4,4.0019,0.0,0.544,0,396.23,304,9.9,58.8,21.0
308,,,,0.49298000000000003,18.4,3.3175,0.0,0.544,0,396.9,304,9.9,82.5,22.8
225,,,,0.52693,17.4,2.8944,0.0,0.504,0,382.0,307,6.2,83.0,50.0
230,,,,0.537,17.4,3.6715,0.0,0.504,0,378.35,307,6.2,68.1,24.3
222,,,,0.62356,17.4,3.2721,0.0,0.507,1,390.39,307,6.2,77.7,27.5
154,,,,1.41385,14.7,1.7494,0.0,0.871,1,321.02,403,19.58,96.0,17.0
159,,,,1.4250200000000002,14.7,1.7659,0.0,0.871,0,364.31,403,19.58,100.0,23.3
161,,,,1.46336,14.7,1.9709,0.0,0.605,0,374.43,403,19.58,90.8,50.0
150,,,,1.6566,14.7,1.618,0.0,0.871,0,372.8,403,19.58,97.3,21.5
162,,,,1.8337700000000001,14.7,2.0407,0.0,0.605,1,389.61,403,19.58,98.2,50.0
166,,,,2.01019,14.7,2.0459,0.0,0.605,0,369.3,403,19.58,96.2,50.0
146,,,,2.15505,14.7,1.5166,0.0,0.871,0,169.27,403,19.58,100.0,15.6
164,,,,2.2423599999999997,14.7,2.4219999999999997,0.0,0.605,0,395.11,403,19.58,91.8,22.7
168,,,,2.3004,14.7,2.1,0.0,0.605,0,297.09,403,19.58,96.1,23.8
171,,,,2.3139,14.7,2.3887,0.0,0.605,0,348.13,403,19.58,97.3,19.1
169,,,,2.4495299999999998,14.7,2.2625,0.0,0.605,0,330.04,403,19.58,95.2,22.3
149,,,,2.7339700000000002,14.7,1.5257,0.0,0.871,0,351.85,403,19.58,94.9,15.4
144,,,,2.7797400000000003,14.7,1.3459,0.0,0.871,0,396.9,403,19.58,97.8,11.8
142,,,,3.32105,14.7,1.3216,0.0,0.871,1,396.9,403,19.58,100.0,13.4
362,,,,3.6782199999999996,20.2,2.1036,0.0,0.77,0,380.79,666,18.1,96.2,20.8
363,,,,4.22239,20.2,1.9047,0.0,0.77,1,353.04,666,18.1,89.0,16.8
365,,,,4.55587,20.2,1.6132,0.0,0.718,0,354.7,666,18.1,87.9,27.5
473,,,,4.64689,20.2,2.5329,0.0,0.614,0,374.68,666,18.1,67.6,29.8
456,,,,4.668830000000001,20.2,2.5806,0.0,0.713,0,10.48,666,18.1,87.9,12.7
452,,,,5.09017,20.2,2.3682,0.0,0.713,0,385.09,666,18.1,91.8,16.1
369,,,,5.669980000000001,20.2,1.3567,0.0,0.631,1,375.33,666,18.1,96.8,50.0
446,,,,6.288069999999999,20.2,2.072,0.0,0.74,0,318.01,666,18.1,96.4,14.9
408,,,,7.40389,20.2,1.4547,0.0,0.597,0,314.64,666,18.1,97.9,17.2
474,,,,8.05579,20.2,2.4298,0.0,0.584,0,352.58,666,18.1,95.4,13.8
393,,,,8.64476,20.2,1.7912,0.0,0.693,0,396.9,666,18.1,92.6,13.8
424,,,,8.792119999999999,20.2,2.0635,0.0,0.584,0,3.65,666,18.1,70.6,11.7
377,,,,9.82349,20.2,1.358,0.0,0.6709999999999999,0,396.9,666,18.1,98.8,13.3
435,,,,11.1604,20.2,2.1247,0.0,0.74,0,109.85,666,18.1,94.6,13.4
425,,,,15.8603,20.2,1.9096,0.0,0.679,0,7.68,666,18.1,95.4,8.3
375,,,,19.6091,20.2,1.3163,0.0,0.6709999999999999,0,396.9,666,18.1,97.9,15.0
384,,,,20.0849,20.2,1.4395,0.0,0.7,0,285.83,666,18.1,91.2,8.8
502,,,1.0,0.04527,21.0,2.2875,0.0,0.573,0,396.9,273,11.93,76.7,20.6
503,,,1.0,0.06076,21.0,2.1675,0.0,0.573,0,396.9,273,11.93,91.0,23.9
504,,,1.0,0.10959,21.0,2.3889,0.0,0.573,0,393.45,273,11.93,89.3,22.0
91,,,2.0,0.03932,17.8,3.0921,0.0,0.489,0,393.55,270,3.41,73.9,22.0
123,,,2.0,0.15037999999999999,19.1,1.9444,0.0,0.581,0,370.31,188,25.65,97.0,17.3
5,,,3.0,0.02985,18.7,6.0622,0.0,0.45799999999999996,0,394.12,222,2.18,58.7,28.7
345,,,3.0,0.03113,18.8,8.0136,0.0,0.442,0,385.64,352,4.39,48.5,17.5
3,,,3.0,0.032369999999999996,18.7,6.0622,0.0,0.45799999999999996,0,394.63,222,2.18,45.8,33.4
84,,,3.0,0.050589999999999996,18.5,4.7794,0.0,0.449,0,396.9,247,4.49,48.0,23.9
346,,,3.0,0.06162,18.8,8.0136,0.0,0.442,0,364.61,352,4.39,52.3,17.2
87,,,3.0,0.07151,18.5,3.7476,0.0,0.449,0,395.15,247,4.49,56.8,22.2
43,,,3.0,0.15936,17.9,5.7209,0.0,0.44799999999999995,0,394.46,233,6.91,6.5,24.7
92,,,4.0,0.04203,18.2,3.6659,28.0,0.46399999999999997,0,395.01,270,15.04,53.6,22.9
492,,,4.0,0.11132,20.1,2.1099,0.0,0.609,0,396.9,711,27.74,83.5,20.1
69,,,4.0,0.12816,18.9,6.497999999999999,12.5,0.409,0,396.9,345,6.07,33.0,20.9
68,,,4.0,0.13554000000000002,18.9,6.497999999999999,12.5,0.409,0,396.9,345,6.07,36.8,17.4
210,,,4.0,0.17446,18.6,3.8771,0.0,0.489,1,393.25,277,10.59,92.1,21.7
215,,,4.0,0.19802,18.6,3.9454,0.0,0.489,0,393.63,277,10.59,42.4,25.0
212,,,4.0,0.21719000000000002,18.6,3.6526,0.0,0.489,1,390.94,277,10.59,53.8,22.4
140,,,4.0,0.2909,21.2,1.6119,0.0,0.624,0,388.08,437,21.89,93.6,14.0
136,,,4.0,0.32264,21.2,1.9669,0.0,0.624,0,378.25,437,21.89,93.5,17.4
130,,,4.0,0.34006,21.2,2.1185,0.0,0.624,0,395.04,437,21.89,98.9,19.2
137,,,4.0,0.35233000000000003,21.2,1.8498,0.0,0.624,0,394.08,437,21.89,98.4,17.1
314,,,4.0,0.3692,18.4,3.6023,0.0,0.544,0,395.69,304,9.9,87.3,23.8
211,,,4.0,0.37578,18.6,3.665,0.0,0.489,1,395.24,277,10.59,88.6,19.3
139,,,4.0,0.54452,21.2,1.6687,0.0,0.624,0,396.9,437,21.89,97.9,17.8
135,,,4.0,0.55778,21.2,2.1107,0.0,0.624,0,394.67,437,21.89,98.2,18.1
15,,,4.0,0.62739,21.0,4.4986,0.0,0.5379999999999999,0,395.62,307,8.14,56.5,19.9
13,,,4.0,0.62976,21.0,4.7075,0.0,0.5379999999999999,0,396.9,307,8.14,61.8,20.4
19,,,4.0,0.7258,21.0,3.7965,0.0,0.5379999999999999,0,390.95,307,8.14,69.5,18.2
24,,,4.0,0.75026,21.0,4.3996,0.0,0.5379999999999999,0,394.33,307,8.14,94.1,15.6
17,,,4.0,0.7842,21.0,4.2579,0.0,0.5379999999999999,0,386.75,307,8.14,81.7,17.5
21,,,4.0,0.8520399999999999,21.0,4.0123,0.0,0.5379999999999999,0,392.53,307,8.14,89.2,19.6
129,,,4.0,0.88125,21.2,1.9799,0.0,0.624,0,396.9,437,21.89,94.7,14.3
27,,,4.0,0.9557700000000001,21.0,4.4534,0.0,0.5379999999999999,0,306.38,307,8.14,88.8,14.8
134,,,4.0,0.9761700000000001,21.2,2.346,0.0,0.624,0,262.76,437,21.89,98.4,15.6
29,,,4.0,1.00245,21.0,4.239,0.0,0.5379999999999999,0,380.23,307,8.14,87.3,21.0
16,,,4.0,1.05393,21.0,4.4986,0.0,0.5379999999999999,0,386.85,307,8.14,29.3,23.1
131,,,4.0,1.19294,21.2,2.271,0.0,0.624,0,396.9,437,21.89,97.7,19.6
34,,,4.0,1.6128200000000001,21.0,3.7598,0.0,0.5379999999999999,0,248.31,307,8.14,96.9,13.5
337,,,5.0,0.030410000000000003,20.2,5.615,0.0,0.515,0,394.81,224,5.19,59.6,18.5
333,,,5.0,0.05083,20.2,6.4584,0.0,0.515,0,389.71,224,5.19,38.1,22.2
