"original_idx","RM","LSTAT","RAD","CRIM","PTRATIO","DIS","ZN","NOX","CHAS","B","TAX","INDUS","AGE","MEDV","group"
310,5.22133738375995,3.76888375620663,1,-0.689817711453188,0.282515464424349,2.5194,0,0.544,0,350.45,304,9.9,37.8,16.1,1
223,7.37119041415328,2.00599882549471,6,-0.154704288381103,-0.167915338393406,3.2721,0,0.507,0,396.9,307,6.2,80.8,30.1,1
153,6.04152203525095,3.3882535324447,16,1.5408433453398,1.09352608397148,1.6232,0,0.871,0,261.95,403,19.58,98.5,19.4,1
151,5.93687435477388,3.77424961822953,10,0.304943543815846,0.0716413044696646,1.5916,0,0.871,0,341.6,403,19.58,100,19.6,1
170,6.06718565830962,3.91331244758271,8,0.599777131226464,1.32630720128865,2.4259,0,0.605,0,292.29,403,19.58,94.6,17.4,1
493,5.91440336030415,3.29119693852459,13,0.735585324620483,1.06672940213417,2.3817,0,0.585,0,396.9,391,9.69,54,21.8,1
156,5.89185250462383,4.46682990804604,14,1.3537240337987,-0.00473191982676818,1.7364,0,0.871,0,88.63,403,19.58,94,13.1,1
224,8.40725462078347,0.773758284259145,2,-0.242760597690791,-1.66971440126451,2.8944,0,0.504,0,385.05,307,6.2,78.3,44.8,1
148,4.91270084216233,4.7756669211263,8,0.702797103326043,-0.421387735777474,1.5296,0,0.871,0,356.99,403,19.58,93.8,17.8,1
317,6.40846943009851,2.74486365894612,9,-0.132110452162369,0.554943897874959,4.0317,0,0.544,0,396.9,304,9.9,71.7,19.8,1
161,8.58178963579804,0.52594029897794,3,-0.529463423634897,-1.16191495309125,1.9709,0,0.605,0,374.43,403,19.58,90.8,50,1
447,5.32060896946356,4.77112810937995,21,1.01766199795103,0.459169644610629,2.198,0,0.74,0,388.52,666,18.1,96.6,12.6,1
126,5.21071753226343,4.38218703633473,-2,-0.356876565338974,-0.270993269902066,1.7572,0,0.581,0,359.29,188,25.65,95.6,15.7,1
431,6.0014873085268,4.36221327202213,17,0.885579875898314,0.724431478423361,2.0882,0,0.584,0,81.33,666,18.1,94.3,14.1,1
361,6.6415597730282,3.27902595834676,20,1.88687800009313,1.28827360122121,2.2955,0,0.77,0,350.65,666,18.1,91.1,19.9,1
110,6.30442055681592,3.23508639743575,5,-0.0684277232658038,0.268411283153052,2.7778,0,0.52,0,393.49,384,8.56,54.4,21.7,1
186,8.75370522302769,1.45893327041801,5,-1.04004631847697,-2.65248079023082,3.1992,0,0.488,0,392.63,193,2.46,53.6,50,1
178,6.81045932611806,3.48206678494838,11,-0.0756601493289723,-1.27161371595962,2.9153,0,0.51,0,391.27,296,4.05,74.4,29.9,1
