"RM","LSTAT","RAD","CRIM","PTRATIO","DIS","ZN","NOX","CHAS","B","TAX","INDUS","AGE","MEDV"
6,2.54132428437378,1.43286679432335,-0.783756258852334,0.494787839812527,2.5194,0,0.544,0,350.45,304,9.9,37.8,16.1
6,3.00467422436856,9.28862578796367,-0.0978153547546091,-0.610608661812043,3.2721,0,0.507,0,396.9,307,6.2,80.8,30.1
1,1.42124215439716,12.2457859990121,0.93037612289986,-1.68601000436165,1.6232,0,0.871,0,261.95,403,19.58,98.5,19.4
1,0.167184567408309,16.1598493521066,0.277740550362459,-1.11986659859477,1.5916,0,0.871,0,341.6,403,19.58,100,19.6
6,3.51902112039876,1.91235951353918,-0.861444654101318,-1.59938259734432,2.4259,0,0.605,0,292.29,403,19.58,94.6,17.4
5,3.67164297313739,10.5077406994362,0.08518531767372,1.12749495171896,2.3817,0,0.585,0,396.9,391,9.69,54,21.8
1,1.66292152598119,17.1369562781093,0.581074545518197,-1.94444457063716,1.7364,0,0.871,0,88.63,403,19.58,94,13.1
8,0.938099529738967,3.58570007246495,-0.0787297191506305,0.294526192443859,2.8944,0,0.504,0,385.05,307,6.2,78.3,44.8
1,0.302574993467028,9.44962570647933,-0.382340338932874,-0.429862611843715,1.5296,0,0.871,0,356.99,403,19.58,93.8,17.8
6,3.74540373922844,-2.07656185401009,-0.428901225018378,0.766244030006894,4.0317,0,0.544,0,396.9,304,9.9,71.7,19.8
8,0.747241086952357,6.29688896612685,0.0606490291295787,-0.283793409044378,1.9709,0,0.605,0,374.43,403,19.58,90.8,50
4,4.33120380387586,25.8018582859642,1.75226237373312,1.5525102921035,2.198,0,0.74,0,388.52,666,18.1,96.6,12.6
5,4.94626095808887,1.56374418640414,-0.138076388796084,-0.350299358466882,1.7572,0,0.581,0,359.29,188,25.65,95.6,15.7
6,2.86468441333094,18.5836512251155,1.39415410643333,1.27592694491663,2.0882,0,0.584,0,81.33,666,18.1,94.3,14.1
4,4.3110120040387,25.1254587324821,1.66965613167465,1.24839024616263,2.2955,0,0.77,0,350.65,666,18.1,91.1,19.9
5,2.90168455576019,11.7119228012143,0.632616393806662,1.59639219771581,2.7778,0,0.52,0,393.49,384,8.56,54.4,21.7
8,-0.429827891631267,5.56495935293936,-0.291099384788462,-1.32026666151715,3.1992,0,0.488,0,392.63,193,2.46,53.6,50
6,2.7185982166311,10.4619635367562,0.218796010885634,0.396124266010837,2.9153,0,0.51,0,391.27,296,4.05,74.4,29.9
3,2.71264055612479,0.0774757837546627,-0.588378606276223,1.34580637583251,3.1121,0,0.55,1,392.8,276,13.89,56,23.3
4,4.1541768919813,22.6048595934527,1.1693866831547,0.720496321052822,1.7821,0,0.693,0,396.9,666,18.1,94.7,12.7
6,3.27942736144619,6.06175730706558,-0.678613487961756,1.11641232306626,2.1675,0,0.573,0,396.9,273,11.93,91,23.9
8,0.772571732295921,5.02641032890691,0.258814075849579,0.440252768130774,1.8773,0,0.605,0,363.43,403,19.58,97.4,41.3
6,1.85143482556878,8.67954926143875,-0.00531409485524965,-0.50692178639867,3.3751,0,0.504,0,380.34,307,6.2,21.4,31.5
1,0.309132410731345,10.8165710036526,0.653959534969193,-0.583614939650038,1.4191,0,0.871,0,172.91,403,19.58,100,13.8
2,-1.0921165346499,11.394106879468,0.856724874023879,-2.47618890071486,1.7455,0,0.871,1,88.01,403,19.58,82.6,15.6
8,0.48552654801285,3.56993917478376,0.216840379334511,-0.495112235253402,2.0459,0,0.605,0,369.3,403,19.58,96.2,50
7,2.79331869171155,5.3799093014467,-0.479363754419455,-0.124406420553928,2.0788,20,0.647,0,393.42,264,3.97,94.5,31
5,3.74761641668689,-4.46913830522865,-0.912830601353155,-0.583962288372179,3.9454,0,0.489,0,396.9,277,10.59,22.3,22.6
5,2.66861457105761,-2.85399578045109,-1.16591522536141,0.424126192609539,5.5027,0,0.437,0,396.9,289,13.92,18.4,23.9
3,2.82230013080051,1.46805102416107,0.0991753340410186,1.35086532221149,3.048,0,0.507,1,395.24,307,6.2,91.3,21.7
6,3.44157064145023,9.87227641761172,-0.413851305175667,-0.21975925394811,2.422,0,0.605,0,395.11,403,19.58,91.8,22.7
6,2.56434601063128,1.14185415954503,-0.654978106817787,0.100387063520042,3.6715,0,0.504,0,376.14,307,6.2,76.9,31.7
6,3.77783542344942,5.40001373856902,-0.0414783732948499,0.970965426097796,3.7872,0,0.538,0,358.77,307,8.14,95,13.1
6,4.59529254945512,25.1444196350864,1.41950627184076,0.7061371978003,2.3158,0,0.713,0,100.19,666,18.1,87.9,14.3
2,-0.815042462502605,6.24905740171998,0.14902972930338,-2.13885028829422,1.6102,0,0.871,1,343.28,403,19.58,88,15.3
3,3.39048069977717,16.0545722772063,0.737981349244181,-0.419978541512039,1.7984,0,0.605,1,338.92,403,19.58,92.6,27
6,2.77461102693035,4.78258985462684,-0.533091562122079,0.581412146808135,3.7476,0,0.449,0,395.15,247,4.49,56.8,22.2
7,3.24467893258447,5.29392404075537,-0.0317904986769278,-0.313881662722124,2.0107,20,0.647,0,391.93,264,3.97,100,30.1
7,2.20024456210349,0.393332331785366,-1.17644179823777,-0.867998548296793,3.2157,0,0.504,0,387.38,307,6.2,86.5,37.6
6,3.14691164136391,3.8064772482003,-0.721390389843592,0.258875018512582,3.3175,0,0.51,0,395.6,296,4.05,73.4,24.6
5,4.66196092072161,8.65042608021754,0.596390947537961,0.542425741438617,1.8125,0,0.624,0,396.9,437,21.89,98.8,18
6,3.17130044346559,4.29878124489675,-0.115145110819961,-0.233238138801338,3.4952,0,0.445,0,391.83,276,2.89,69.6,21.4
6,2.73704228062099,2.08626882892854,-0.519127484556908,0.452843365563448,2.6463,0,0.51,0,395.5,296,4.05,84.1,23.6
5,4.19357420691593,2.42826840898442,-0.696347873412971,0.31765481381732,5.9853,0,0.515,0,396.9,224,5.19,34.5,21.1
6,2.09483213136213,6.94340285594968,-0.953332748490641,-0.224504059558099,5.7209,0,0.448,0,385.41,233,6.91,2.90000000000001,26.6
3,3.29995847978117,4.82474513167242,-0.244272009830471,1.53164456872676,3.3633,0,0.55,1,393.74,276,13.89,92.4,23
5,2.5374151705134,13.8565851102938,-0.0406330212344558,1.06793589738604,5.2146,0,0.46,0,375.21,430,3.24,17.2,22.6
7,1.55575648634643,4.73003667476459,-0.177903097424171,-1.88714317572526,2.4216,20,0.575,0,384.54,264,3.97,67,50
5,4.31581305042056,14.3438009833619,0.794061614437918,-1.54701457236491,2.1,0,0.605,0,297.09,403,19.58,96.1,23.8
5,4.11912536609112,8.73365417975632,0.316759971616689,-1.54701457236491,2.3887,0,0.605,0,348.13,403,19.58,97.3,19.1
5,4.55542714547389,7.88628148942747,-0.329182938768409,-1.54701457236491,2.2625,0,0.605,0,330.04,403,19.58,95.2,22.3
1,1.18063893389396,10.8500174232886,-0.122675257492461,-1.54701457236491,1.618,0,0.871,0,372.8,403,19.58,97.3,21.5
1,0.846750648479602,10.9344860018382,-0.184611833500811,-1.54701457236491,1.7659,0,0.871,0,364.31,403,19.58,100,23.3
3,1.40919662851558,5.81593722165558,0.520272822704698,-1.4986288445605,5.2119,20,0.4429,1,377.07,216,3.33,49.7,46
6,1.31521525077784,6.2736146497122,-0.597407792608185,-1.4986288445605,4.1007,20,0.4429,0,396.9,216,3.33,32.2,35.1
6,2.87100761874003,1.79044069735796,-0.930517962906707,-1.1943938643994,5.9604,0,0.437,0,396.9,289,13.92,31.1,28.6
8,0.148679559695642,7.22678689471834,0.351721871932936,-0.695829524768667,2.8944,0,0.504,0,382,307,6.2,83,50
3,3.72722569568395,8.9205884262733,0.331075285690757,-0.695829524768667,3.6519,0,0.507,1,360.2,307,6.2,66.5,29
8,-0.619209893914396,2.75126770645043,-1.3251630533735,-0.695829524768667,3.3751,0,0.504,0,377.51,307,6.2,17,46.7
7,2.52581212696762,1.9898255112328,-0.808112993334643,-0.525818250464659,4.9671,0,0.469,0,392.83,242,7.07,61.1,34.7
6,3.3007923111659,-2.99978867751042,-0.577715768828197,-0.525818250464659,2.9879,0,0.488,0,391,193,2.46,89.8,26.4
6,3.88295776526815,3.00376043532009,-0.617423622058123,-0.525818250464659,4.9671,0,0.469,0,396.9,242,7.07,78.9,21.6
5,3.86896756598477,1.17309689199464,-0.424029656725384,-0.341710340923555,3.615,28,0.464,0,396.9,270,15.04,77.3,20.6
6,2.00942870333975,8.45633980088795,-0.113862070402611,-0.0899986875399935,4.2515,0,0.437,0,394.92,398,12.83,6,24.1
6,2.29675150191632,-2.36131551214509,-1.36272897072846,0.073471767344769,5.4007,25,0.426,0,395.63,281,4.86,70.4,23.9
6,3.78258509469802,2.19358021371118,0.052185311078054,0.187985637785564,3.3603,0,0.499,0,396.9,279,5.96,68.2,18.9
5,3.84177829594727,9.34276631226281,-0.222935023922053,0.187985637785564,2.4982,0,0.585,0,396.9,391,9.69,79.7,16.8
