"","X1.RM","X1.LSTAT","X1.RAD","X1.CRIM","X1.PTRATIO","X1.DIS","X1.ZN","X1.NOX","X1.CHAS","X1.B","X1.TAX","X1.INDUS","X1.AGE","X1.MEDV"
"18",6.02,2.62537258770055,"5",-0.675143348017347,0.187985637785564,3.7965,0,0.538,0,288.99,307,8.14,36.6,20.2
"29",5.927,3.70267139013862,"5",-0.348824429813104,0.431102979977672,4.239,0,0.538,0,380.23,307,8.14,87.3,21
"37",6.185,3.86904168839634,"3",-0.420964942198468,-0.695829524768667,3.9342,0,0.499,0,396.9,279,5.96,41.5,21
"47",5.155,4.28407396674008,"6",0.304336945261535,-0.142360813351939,5.6894,0,0.448,0,392.74,233,6.91,85.5,16.6
"50",6.069,3.49653837097157,"4",-0.0797380461808361,-0.0365864931420291,6.8147,21,0.439,0,395.56,243,5.64,45.7,19.7
"75",5.914,3.83119434777177,"4",-0.520002092729611,0.0178965792890688,4.5026,0,0.437,0,383.23,398,12.83,45,21.4
"79",5.602,3.63766448693914,"4",0.208132786614066,0.833916637360556,4.5026,0,0.437,0,396.06,398,12.83,36.6,20.3
"88",5.876,3.41412227368256,"3",-0.195783405479923,0.130160746119299,3.4217,0,0.489,0,396.9,270,3.41,86.3,23.6
"89",6.064,3.45499873992477,"3",-0.788077790720798,0.494955615629276,3.4145,0,0.489,0,396.06,270,3.41,63.1,28.7
"91",6.897,3.22442742699829,"5",-0.488320027076743,0.833916637360556,3.0921,0,0.489,0,393.55,270,3.41,73.9,22
"96",6.335,3.3998571320472,"3",-0.951202538580825,0.763410225319547,3.4952,0,0.445,0,391.83,276,2.89,69.6,21.4
"99",6.879,2.66178591679101,"8",0.400924763079914,-0.997706535589136,3.4952,0,0.445,0,396.9,276,2.89,62.5,33.2
"101",6.939,2.88060153240959,"2",-0.738157997688579,-0.142360813351939,2.8561,0,0.52,0,395.58,384,8.56,71.3,26.5
"114",5.757,3.45639545357996,"6",-0.634909866974509,1.45124616523898,2.2565,0,0.547,0,388.74,432,10.01,84.2,18.5
"117",6.015,3.46614892723792,"4",0.121071810009603,1.368618600426,2.7474,0,0.547,0,394.51,432,10.01,82.6,19.2
"120",5.878,3.25360802262431,"4",-0.689806356319916,-0.142360813351939,2.2577,0,0.581,0,389.15,188,25.65,69.7,22
"122",6.031,3.41412227368256,"4",0.521878431718159,1.45124616523898,2.0869,0,0.581,0,378.09,188,25.65,92.9,20.5
"123",6.348,4.12516395279021,"2",-0.549906836154591,0.833916637360556,1.9444,0,0.581,0,370.31,188,25.65,97,17.3
"126",5.594,5.13132001327312,"2",-0.792232718651851,-0.695829524768667,1.7572,0,0.581,0,359.29,188,25.65,95.6,15.7
"138",5.813,4.05106658926026,"4",0.198647671455844,1.368618600426,1.6686,0,0.624,0,392.04,437,21.89,98.2,13.3
"142",5.813,5.18159064937947,"4",1.0834582885859,-1.54701457236491,1.3216,0,0.871,1,396.9,403,19.58,100,13.4
"146",5.859,4.10497825759137,"5",0.758071224646486,-0.61251795246359,1.5166,0,0.871,0,169.27,403,19.58,100,15.6
"148",5.889,4.01151481788684,"5",0.410466167700012,-1.88714317572526,1.5296,0,0.871,0,356.99,403,19.58,93.8,17.8
"149",5.914,4.3787117756316,"5",0.8135320278524,-1.42225756521518,1.5257,0,0.871,0,351.85,403,19.58,94.9,15.4
"150",5.968,4.13888231107415,"5",0.799703646891987,-0.997706535589136,1.618,0,0.871,0,372.8,403,19.58,97.3,21.5
"151",6.009,4.09643014889608,"5",1.02975554239238,-1.54701457236491,1.5916,0,0.871,0,341.6,403,19.58,100,19.6
"161",7.875,2.30084478259932,"5",-0.703126124065858,-0.481155986929274,1.9709,0,0.605,0,374.43,403,19.58,90.8,50
"165",6.871,3.56683064029039,"4",0.553018734793929,0.187985637785564,2.2834,0,0.605,0,240.16,403,19.58,93,25
"166",8.034,1.8883877729515,"5",-0.987349123591684,0.187985637785564,2.0459,0,0.605,0,369.3,403,19.58,96.2,50
"170",6.376,3.91669015108046,"2",0.814027997273468,-0.695829524768667,2.4259,0,0.605,0,292.29,403,19.58,94.6,17.4
"171",6.232,3.9758198679888,"4",0.500441605373313,1.62150192036674,2.3887,0,0.605,0,348.13,403,19.58,97.3,19.1
"173",6.442,3.40414597400055,"4",-0.0417503931162395,0.494955615629276,2.6463,0,0.51,0,395.5,296,4.05,84.1,23.6
"178",5.608,2.57789156243893,"8",-0.517478183377313,-0.525818250464659,2.9153,0,0.51,0,391.27,296,4.05,74.4,29.9
"179",7.765,1.64038749568107,"4",-0.363785201989218,-0.525818250464659,2.829,0,0.488,0,396.9,193,2.46,58.4,37.2
"186",7.875,1.29472254172168,"5",-1.17591624610692,-1.95119453467277,3.1992,0,0.488,0,392.63,193,2.46,53.6,50
"206",6.727,2.62537258770055,"2",-0.974159099984927,-0.481155986929274,4.3549,0,0.489,0,394.87,277,10.59,52.5,24.4
"214",6.375,2.03692454707193,"4",-0.348824429813104,0.833916637360556,3.5875,0,0.489,0,348.93,277,10.59,9.8,23.7
"215",5.976,2.669791809027,"4",-1.17591624610692,1.53552944977859,3.9454,0,0.489,0,393.63,277,10.59,42.4,25
"216",5.976,3.23983279142847,"3",-0.0252794932954932,-0.997706535589136,3.1121,0,0.55,1,392.8,276,13.89,56,23.3
"218",6.169,4.12727934955292,"4",0.633621456384801,0.494955615629276,2.8893,0,0.55,1,396.9,276,13.89,93.8,21.5
"219",6.145,3.99149985080341,"4",-0.113095414443476,0.130160746119299,3.3633,0,0.55,1,393.74,276,13.89,92.4,23
"220",6.718,3.48966651168965,"1",0.14213510198575,-0.61251795246359,2.8617,0,0.507,1,391.7,307,6.2,88.5,26.7
"224",7.875,1.82178979285759,"7",0.633621456384801,-0.142360813351939,2.8944,0,0.504,0,385.05,307,6.2,78.3,44.8
"225",4.97,1.54587838126817,"8",0.135626186614536,-1.4986288445605,2.8944,0,0.504,0,382,307,6.2,83,50
"228",7.82,1.23539042638482,"5",-0.974159099984927,-1.88714317572526,3.3751,0,0.504,0,377.51,307,6.2,17,46.7
"232",8.297,1.19167394244065,"5",-0.89552782493659,-0.142360813351939,3.8384,0,0.507,0,385.91,307,6.2,73.3,41.7
"233",4.97,1.54587838126817,"5",-0.666307715424616,-0.852800591791647,3.6519,0,0.507,0,378.95,307,6.2,70.4,48.3
"235",5.981,3.06256425547388,"5",-0.553769425197108,-1.54701457236491,3.6519,0,0.507,0,376.75,307,6.2,61.5,24
"237",6.739,2.35287367393696,"5",-0.248315164027441,-0.997706535589136,4.148,0,0.507,0,390.07,307,6.2,71.6,31.5
"258",7.287,2.55900970520885,"5",-0.0332999676439515,-0.852800591791647,1.8946,20,0.647,0,383.29,264,3.97,100,36
"265",5.981,3.40414597400055,"6",-0.417161495971075,-1.52306810828665,1.9865,20,0.647,0,392.4,264,3.97,62.8,22.8
"271",6.606,2.18739734429996,"7",-0.65936232364762,-0.852800591791647,4.429,20,0.464,0,396.9,223,6.96,16.3,25.2
"295",6.718,2.16440734043817,"4",-0.517478183377313,-0.89012178462863,5.9604,0,0.437,0,396.9,289,13.92,31.1,28.6
"296",6.871,1.90024260478172,"4",-1.05366615223488,1.62150192036674,5.9604,0,0.437,0,392.85,289,13.92,51,27.1
"307",6.211,3.39125535254245,"3",-0.900219442686603,-0.24401601094397,3.1827,33,0.472,0,396.9,222,2.18,70.3,28.2
"309",6.302,3.25360802262431,"2",-0.416084529479112,-0.0365864931420291,3.1025,0,0.544,0,396.24,304,9.9,76.7,20.3
"311",6.151,4.21047142468078,"6",-0.420964942198468,-1.16323735407812,2.6403,0,0.544,0,396.9,304,9.9,52.8,22.1
"312",5.682,4.43649785590307,"4",0.845127789516917,1.53552944977859,2.834,0,0.544,0,396.3,304,9.9,90.4,19.4
"313",6.195,3.65312102596691,"8",0.637889913664838,-0.24401601094397,3.2628,0,0.544,0,393.39,304,9.9,82.8,21.6
"318",6.108,1.93825661174344,"8",-0.0797380461808361,-0.0899986875399935,3.5325,0,0.544,0,395.21,304,9.9,67.2,23.1
