"","RM","LSTAT","RAD","CRIM","PTRATIO","DIS","ZN","NOX","CHAS","B","TAX","INDUS","AGE","MEDV"
"2",7.07328247378079,2.09763053279274,1,-0.999042146875484,0.452941487831668,4.9671,0,0.469,0,392.83,242,7.07,61.1,34.7
"6",6.55949231978898,2.81031042451091,3,-0.277969505095832,0.556424524869367,5.5605,12.5,0.524,0,395.6,311,7.87,66.6,22.9
"18",6.39589007728126,2.71348427262937,4,-0.787271906318556,-0.714157890813619,3.7965,0,0.538,0,288.99,307,8.14,36.6,20.2
"34",5.85947732283076,3.46315279622193,7,0.532095652534216,-0.337220608039551,3.7598,0,0.538,0,248.31,307,8.14,96.9,13.5
"38",6.49143707066644,3.09850325813558,1,-1.1400796841266,0.387478122335598,3.8473,0,0.499,0,393.43,279,5.96,30.2,24.7
"43",6.24596576677273,2.89308533739989,2,-1.04025788810937,0.567228831140031,5.7209,0,0.448,0,394.46,233,6.91,6.5,24.7
"46",6.13385134438815,2.46464649002081,1,-1.35940235024876,-0.677152822505029,5.1004,0,0.448,0,396.9,233,6.91,33.3,20
"71",5.78878710707,2.52752233227219,4,-0.858973136348169,0.033864781294628,5.2873,0,0.413,0,376.94,305,10.81,17.5,21.7
"72",5.49981474550982,2.41303006269006,3,-0.616223754652156,-0.678512580156932,5.2873,0,0.413,0,390.91,305,10.81,7.8,22.8
"74",6.37062249173573,2.20122176319221,12,-0.725476887525948,-0.0609977214351341,4.2515,0,0.437,0,394.92,398,12.83,6,24.1
"86",5.79433445679602,3.23032116117854,6,-0.584936372514425,-0.0384334706143915,4.4272,0,0.449,0,395.99,247,4.49,45.1,22.5
"87",6.08564508056856,2.59407998606653,10,0.00542657857368523,1.05308362541061,3.7476,0,0.449,0,395.15,247,4.49,56.8,22.2
"88",6.37377784495255,3.3985602777406,3,-0.455828846557137,-1.24073006097164,3.4217,0,0.489,0,396.9,270,3.41,86.3,23.6
"89",6.67054580959272,2.42954070272601,7,0.0217625558406956,0.899621305262945,3.4145,0,0.489,0,396.06,270,3.41,63.1,28.7
"90",5.77272364596338,3.1152853310031,1,-0.478865248073021,-0.786213097987359,3.0923,0,0.489,0,392.18,270,3.41,66.1,22.6
"91",6.44652504827138,2.81209064830495,1,-1.17864804825498,-0.936076031864488,3.0921,0,0.489,0,393.55,270,3.41,73.9,22
"98",7.43589892249162,1.30311803861634,2,-0.850904594050998,0.654445823432831,3.4952,0,0.445,0,393.53,276,2.89,36.9,43.8
"99",6.31713994621286,1.85672838750501,4,-0.214081960198343,0.395819936876837,3.4952,0,0.445,0,396.9,276,2.89,62.5,33.2
"102",5.82215708979845,3.77924540609386,15,0.247726048980599,0.207809616951955,2.7147,0,0.52,0,70.8,384,8.56,85.4,18.6
"115",5.53694809153352,3.1725034965357,8,0.43234435681062,0.51605232606731,2.4631,0,0.547,0,344.91,432,10.01,88.2,18.3
"120",5.75684852890203,2.98450872101088,1,-0.828982532672595,1.45631965478289,2.2577,0,0.581,0,389.15,188,25.65,69.7,22
"121",6.17617873398878,3.08551735558688,1,-1.52959550956462,0.149981786276727,2.1974,0,0.581,0,377.67,188,25.65,84.1,20.3
"125",5.81460783102123,3.69120579947026,1,-0.79031339910058,-0.249552909711682,1.9929,0,0.581,0,385.02,188,25.65,88.4,21.4
"126",5.37595602851613,3.68480357464915,1,-1.13038772836169,0.16228431499144,1.7572,0,0.581,0,359.29,188,25.65,95.6,15.7
"144",6.1963068232103,4.10155883032968,10,1.03669530972412,-0.565686104335365,1.3459,0,0.871,0,396.9,403,19.58,97.8,11.8
"146",6.64312114861115,4.20311539498304,6,0.304211410928284,-1.47126367531672,1.5166,0,0.871,0,169.27,403,19.58,100,15.6
"148",6.69586857771816,4.13740678537519,7,0.630967182159802,-0.94009265126787,1.5296,0,0.871,0,356.99,403,19.58,93.8,17.8
"156",6.87981365669936,4.21493833666915,14,1.13419867858478,-0.198515245137582,1.7364,0,0.871,0,88.63,403,19.58,94,13.1
"157",7.83295238139324,2.3376825111949,8,0.351173208841567,-0.685076142618886,1.8773,0,0.605,0,363.43,403,19.58,97.4,41.3
"158",6.6456930793622,3.87653729572796,7,-0.109755340134597,0.268972312604738,1.7573,0,0.605,0,353.89,403,19.58,100,24.3
"165",6.80623220403994,3.90089692411623,10,0.15749710765564,1.1503179011192,2.2834,0,0.605,0,240.16,403,19.58,93,25
"168",6.63902487375456,3.86666325292312,7,0.299479350042144,0.620574081642077,2.1,0,0.605,0,297.09,403,19.58,96.1,23.8
"170",5.66196961992931,4.39589970089483,6,0.225067083688621,0.450305207952828,2.4259,0,0.605,0,292.29,403,19.58,94.6,17.4
"171",5.92080784053523,4.29817446058344,2,-0.136084235878604,1.66715689973189,2.3887,0,0.605,0,348.13,403,19.58,97.3,19.1
"175",6.39811637787217,2.50077600415241,12,0.29723000878924,0.131189658749014,3.1323,0,0.51,0,390.96,296,4.05,33.1,29.4
"183",6.61445347484663,2.91136828742584,1,-1.0137862132671,-0.620256922121929,2.847,0,0.488,0,396.9,193,2.46,95.6,32.5
"206",6.274795285132,3.1524342227016,1,-0.445533231428088,0.303100464334802,4.3549,0,0.489,0,394.87,277,10.59,52.5,24.4
"215",5.81158076160251,2.75124228463708,5,-0.855961972403186,0.472069019088763,3.9454,0,0.489,0,393.63,277,10.59,42.4,25
"216",6.5201837204584,3.0792911079469,13,0.106911892702922,0.0793379358416795,3.1121,0,0.55,1,392.8,276,13.89,56,23.3
"217",6.99541968959849,2.9744461163362,8,-0.672070651708394,-0.538423743155007,3.4211,0,0.55,0,392.78,276,13.89,85.1,28.7
"218",5.8823112073643,3.3492188304711,7,-0.637402015657259,-0.149763704403948,2.8893,0,0.55,1,396.9,276,13.89,93.8,21.5
"220",6.18483550873367,3.59091287724736,7,0.0763157782372641,-0.162297751384326,2.8617,0,0.507,1,391.7,307,6.2,88.5,26.7
"221",6.4785296489835,3.20389787476466,10,0.529139680262807,0.575604708083731,3.048,0,0.507,1,395.24,307,6.2,91.3,21.7
"223",7.13000944396027,2.87672833416059,1,-0.747970344077503,0.815152776877092,3.2721,0,0.507,0,396.9,307,6.2,80.8,30.1
"224",7.86361751186651,1.94871867959064,1,-1.49530230243746,-0.302833015398916,2.8944,0,0.504,0,385.05,307,6.2,78.3,44.8
"225",8.48201285574626,1.26629851945723,4,-0.496160827420631,-0.319830418197532,2.8944,0,0.504,0,382,307,6.2,83,50
"231",6.93365958599731,2.56792326731819,3,-0.389749599176164,0.43781067780217,3.6715,0,0.504,0,376.14,307,6.2,76.9,31.7
"236",6.79138974102591,2.99139122606086,1,0.401263411472193,0.482761709145118,4.148,0,0.507,1,388.45,307,6.2,76.5,25.1
"257",8.50219226171196,1.23940774784515,12,-0.06567157396774,-1.16840679783113,1.801,20,0.647,0,389.7,264,3.97,86.9,50
"265",6.50925653742896,3.73645030847831,18,0.215601711056154,-1.70970859057076,1.9865,20,0.647,0,392.4,264,3.97,62.8,22.8
"268",8.15974873417382,1.24094608182579,5,-0.0385684611774626,-1.80925221817783,2.872,20,0.575,0,390.3,264,3.97,52.6,43.5
"293",5.94156893214967,2.24103502833448,1,-1.05453111602527,-0.151777510837312,5.5027,0,0.437,0,396.9,289,13.92,18.4,23.9
"309",6.20281965353063,4.08173333344248,10,-0.565079174804094,-1.12528401686198,3.1025,0,0.544,0,396.24,304,9.9,76.7,20.3
"312",6.21323584895535,4.28735963725657,13,-0.342978765907185,0.348805060810871,2.834,0,0.544,0,396.3,304,9.9,90.4,19.4
"320",6.21413876185629,3.32996679164217,7,-0.331929487949951,-0.618238388091717,4.5404,0,0.493,0,396.9,287,7.38,52.3,23.8
"321",6.2859088376859,2.93680374189501,1,-0.0480887580616613,1.25692360675907,4.5404,0,0.493,0,396.9,287,7.38,54.3,23.1
"326",6.51614741488529,3.10122747233646,5,-0.868084675491806,-0.282677720133451,5.4159,0,0.493,0,396.9,287,7.38,28.9,23
"334",5.79640033377731,3.27386530591471,1,-0.89017845107551,-0.193951665666473,6.4584,0,0.515,0,389.4,224,5.19,38.5,20.7
"336",5.35675015801527,3.1588024278768,5,-0.278308946858809,-0.0385257256197759,5.2311,0,0.515,0,396.9,224,5.19,46.3,19.5
"346",6.16017615939035,2.88700750395616,6,-0.561810965552433,1.47265600295491,8.0136,0,0.442,0,364.61,352,4.39,52.3,17.2
"372",7.740101727723,2.43176177377674,16,0.028777934682088,-0.303148916459249,1.1296,0,0.668,1,347.88,666,18.1,89.6,50
"383",6.05479509020287,4.65569797423774,24,1.42491618922991,0.0312184575700061,1.5331,0,0.7,0,396.9,666,18.1,100,12.3
"384",5.97170840093004,4.74405109369894,24,2.19286340221387,1.35376343222731,1.4395,0,0.7,0,285.83,666,18.1,91.2,8.8
"404",5.35602403189396,4.58407547013143,24,1.61730332379754,0.552620493003455,1.6074,0,0.693,0,329.46,666,18.1,85.4,8.5
"424",5.77008423046307,4.07038721692751,24,1.95369629659693,1.113931370934,2.0635,0,0.584,0,3.65,666,18.1,70.6,11.7
"429",6.18391109263768,4.57540098505246,24,1.34282937445446,0.878837540349612,1.9682,0,0.679,0,60.72,666,18.1,95.6,9.5
"439",6.60660372341862,3.45294247598816,19,0.753054073730243,1.3148072499685,1.8172,0,0.74,0,396.9,666,18.1,93.9,12.8
"462",6.44643893358915,4.06268985913086,18,0.434735121442548,0.428171844398301,2.7344,0,0.713,0,396.9,666,18.1,83,19.5
"465",6.64128080123082,2.89624416408887,23,1.96750360926037,0.46386887138281,3.0665,0,0.655,0,334.4,666,18.1,48.2,19.9
"487",6.30091242694967,2.68343147559695,12,0.443136934583948,1.41755784530167,3.1523,0,0.583,0,388.22,666,18.1,53.2,20.6
"494",6.68957838169113,2.26137870914535,9,-0.138151096326543,-0.660087104169445,2.3817,0,0.585,0,396.9,391,9.69,42.6,24.5
"499",5.58604907174977,3.92780991709215,11,-0.376132920140568,0.337260920735902,2.3999,0,0.585,0,395.77,391,9.69,73.5,17.5
"500",5.94990398493496,3.84056121677652,7,0.522673878840905,0.43627553102349,2.4982,0,0.585,0,396.9,391,9.69,79.7,16.8
"501",5.96626375105111,3.62814841469391,5,0.0275793887847177,-0.393486738449524,2.4786,0,0.573,0,391.99,273,11.93,69.1,22.4
"502",6.03689397513992,3.82077970930483,1,-1.16891376963036,0.11240093171852,2.2875,0,0.573,0,396.9,273,11.93,76.7,20.6
"504",6.53055083499568,3.16803130396725,1,-0.000395983168349708,0.914741386102066,2.3889,0,0.573,0,393.45,273,11.93,89.3,22
"505",5.5045215534424,3.90207607624726,3,-0.380521325581921,0.868054353764985,2.505,0,0.573,0,396.9,273,11.93,80.8,11.9
"260",7.80660093636568,2.38096007743758,6,0.428301042339115,-1.88714317572526,2.1121,20,0.647,0,392.8,264,3.97,81.8,33.8
"262",8.41552232064269,2.20995389873333,1,-1.08382614553618,-1.88714317572526,2.2885,20,0.647,0,386.86,264,3.97,91.5,48.8
"267",8.16042014875238,1.61570198535673,8,-0.521739202531659,-1.88714317572526,2.4216,20,0.575,0,384.54,264,3.97,67,50
"142",6.29100956539918,5.04641425260594,17,0.809703445683955,-1.54701457236491,1.3216,0,0.871,1,396.9,403,19.58,100,13.4
"151",6.71144580820895,4.38596447862533,14,-0.0773865712472636,-1.54701457236491,1.5916,0,0.871,0,341.6,403,19.58,100,19.6
"154",6.4996183702207,4.38192717738811,17,1.15773400255763,-1.54701457236491,1.7494,0,0.871,1,321.02,403,19.58,96,17
"155",6.58991433413018,4.46504989056032,20,2.02779361409374,-1.54701457236491,1.7455,0,0.871,1,88.01,403,19.58,82.6,15.6
"160",6.80781708906998,3.02555739064416,6,-0.554054230685253,-1.54701457236491,1.7984,0,0.605,1,338.92,403,19.58,92.6,27
"161",8.18245021151382,1.66490566032387,9,0.24475227810335,-1.54701457236491,1.9709,0,0.605,0,374.43,403,19.58,90.8,50
"162",8.2348721259139,2.48688205574731,12,0.0728607238706825,-1.54701457236491,2.0407,0,0.605,1,389.61,403,19.58,98.2,50
"164",5.8683084739986,3.61365771048136,10,0.0710348944931244,-1.54701457236491,2.422,0,0.605,0,395.11,403,19.58,91.8,22.7
"167",7.12285906783652,3.36169460265207,10,0.308073726797926,-1.54701457236491,2.4259,0,0.605,0,227.61,403,19.58,79.2,23.8
"281",6.61017694912108,2.38308224314832,1,-1.70611148603584,-1.4986288445605,5.2447,20,0.4429,0,392.23,216,3.33,37.2,35.4
"282",7.49627371719927,1.30135692953771,12,-0.108212291951633,-1.4986288445605,5.2119,20,0.4429,1,377.07,216,3.33,49.7,46
"296",6.31962107740618,2.92757816689521,1,-0.256585147840116,-1.1943938643994,5.9604,0,0.437,0,392.85,289,13.92,51,27.1
"297",5.76610699068387,3.51428604260124,1,-0.491980583122566,-1.1943938643994,6.32,0,0.437,0,396.9,289,13.92,58,20.3
"178",6.6761404356136,2.27427198230719,10,-0.433669416352887,-0.997706535589136,2.9153,0,0.51,0,391.27,296,4.05,74.4,29.9
"328",6.00294915670971,2.97924323010304,8,-0.66484930545529,-0.89012178462863,5.2146,0,0.46,0,382.44,430,3.24,25.8,19.3
"329",5.81303542389639,2.6407226890713,16,-0.236875646987961,-0.89012178462863,5.2146,0,0.46,0,375.21,430,3.24,17.2,22.6
"227",6.63791390329169,3.06692532110614,1,-1.03552703918988,-0.695829524768667,3.2157,0,0.504,0,372.08,307,6.2,79.9,31.6
"233",8.2510172804884,2.27047570573288,10,0.10344726886611,-0.695829524768667,3.6519,0,0.507,0,378.95,307,6.2,70.4,48.3
"234",6.58964518293207,2.89576267908784,8,-0.266435697978706,-0.695829524768667,3.6519,0,0.507,1,360.2,307,6.2,66.5,29
"119",6.07272991023981,2.69967817686286,10,0.486938386102574,-0.525818250464659,2.7592,0,0.547,0,391.5,432,10.01,65.2,19.3
"41",6.39823432630998,2.16439886796596,4,-0.758702392669094,-0.481155986929274,5.7209,0,0.448,0,385.41,233,6.91,2.9,26.6
"95",6.18771306588591,2.71430647572147,4,-0.280322863111935,-0.435595771986813,3.4952,0,0.445,0,357.98,276,2.89,57.8,28.4
"314",6.21124586335103,2.9879595723144,6,-0.52177399397577,-0.24401601094397,3.6023,0,0.544,0,395.69,304,9.9,87.3,23.8
"208",5.94845893977165,3.20285915821059,9,-0.569828328833873,-0.142360813351939,4.2392,0,0.489,1,381.32,277,10.59,59.1,24.4
"212",5.99001387540379,3.94569002747563,8,-0.48982609086341,-0.142360813351939,3.6526,0,0.489,1,390.94,277,10.59,53.8,22.4
"270",6.37857634353129,3.32096936655401,1,-1.38113670622448,-0.142360813351939,4.429,20,0.464,0,388.65,223,6.96,42.1,21.1
"76",5.88233489588914,2.74909640009983,4,-0.414260593928696,-0.0899986875399935,4.0522,0,0.437,0,373.66,398,12.83,74.5,20
"67",5.25390442027517,2.70030687963572,4,-0.714373131182235,0.0178965792890688,6.498,12.5,0.409,0,396.21,345,6.07,21.4,22
"80",6.60837684944698,2.42807263356969,6,0.119154469106515,0.073471767344769,5.4007,25,0.426,0,396.9,281,4.86,33.5,28
"123",5.79517503525404,3.9828988336276,1,-0.848898294936585,0.130160746119299,1.9444,0,0.581,0,370.31,188,25.65,97,17.3
"337",5.89721450038899,3.65246382462505,2,-0.493664706087738,0.833916637360556,5.615,0,0.515,0,394.81,224,5.19,59.6,18.5
"339",6.02329057477436,3.01400175669223,6,-0.999009067996679,0.833916637360556,4.8122,0,0.515,0,396.9,224,5.19,45.4,19
"414",5.61172431485612,4.82896888316969,22,1.48244580202113,0.833916637360556,1.6582,0,0.693,0,88.27,666,18.1,100,7
"464",6.58173610011741,3.58745245872267,24,0.917742840300977,0.833916637360556,2.9634,0,0.655,0,396.9,666,18.1,65.4,21.4
"482",6.85253453115389,2.62000934789739,21,0.587506572062706,0.833916637360556,3.4106,0,0.532,0,395.28,666,18.1,77,25
"15",5.76683994085867,2.9662612057157,3,0.18280153532699,1.45124616523898,4.4986,0,0.538,0,395.62,307,8.14,56.5,19.9
"24",6.25089394467712,3.60695214547332,8,0.215955915795609,1.45124616523898,4.3996,0,0.538,0,394.33,307,8.14,94.1,15.6
"27",6.2883199882095,3.74813572642862,10,-0.368467986715594,1.45124616523898,4.4534,0,0.538,0,306.38,307,8.14,88.8,14.8
