original_idx,RM,LSTAT,RAD,CRIM,PTRATIO,DIS,ZN,NOX,CHAS,B,TAX,INDUS,AGE,MEDV
1,,,,,,4.9671,0.0,0.469,0,396.9,242,7.07,78.9,21.6
2,,,,,,4.9671,0.0,0.469,0,392.83,242,7.07,61.1,34.7
6,,,,,,5.5605,12.5,0.524,0,395.6,311,7.87,66.6,22.9
11,,,,,,6.2267,12.5,0.524,0,396.9,311,7.87,82.9,18.9
15,,,,,,4.4986,0.0,0.5379999999999999,0,395.62,307,8.14,56.5,19.9
20,,,,,,3.7979,0.0,0.5379999999999999,0,376.57,307,8.14,98.1,13.6
24,,,,,,4.3996,0.0,0.5379999999999999,0,394.33,307,8.14,94.1,15.6
25,,,,,,4.4546,0.0,0.5379999999999999,0,303.42,307,8.14,85.7,13.9
36,,,,,,3.3779,0.0,0.499,0,377.56,279,5.96,61.4,20.0
37,,,,,,3.9342,0.0,0.499,0,396.9,279,5.96,41.5,21.0
44,,,,,,5.7209,0.0,0.44799999999999995,0,389.39,233,6.91,40.0,21.2
68,,,,,,6.4979999999999976,12.5,0.409,0,396.9,345,6.07,36.8,17.4
74,,,,,,4.2515,0.0,0.4370000000000001,0,394.92,398,12.83,6.0,24.1
76,,,,,,4.0522,0.0,0.4370000000000001,0,373.66,398,12.83,74.5,20.0
86,,,,,,4.4272,0.0,0.449,0,395.99,247,4.49,45.1,22.5
88,,,,,,3.4217,0.0,0.489,0,396.9,270,3.41,86.3,23.6
90,,,,,,3.0923,0.0,0.489,0,392.18,270,3.41,66.1,22.6
91,,,,,,3.0921,0.0,0.489,0,393.55,270,3.41,73.9,22.0
100,,,,,,2.7778,0.0,0.52,0,394.76,384,8.56,79.9,27.5
111,,,,,,2.6775,0.0,0.547,0,395.59,432,10.01,81.6,22.8
112,,,,,,2.3534,0.0,0.547,0,394.95,432,10.01,92.9,18.8
114,,,,,,2.2565,0.0,0.547,0,388.74,432,10.01,84.2,18.5
120,,,,,,2.2577,0.0,0.581,0,389.15,188,25.65,69.7,22.0
121,,,,,,2.1974,0.0,0.581,0,377.67,188,25.65,84.1,20.3
122,,,,,,2.0869,0.0,0.581,0,378.09,188,25.65,92.9,20.5
123,,,,,,1.9444,0.0,0.581,0,370.31,188,25.65,97.0,17.3
124,,,,,,2.0063,0.0,0.581,0,379.38,188,25.65,95.8,18.8
125,,,,,,1.9929,0.0,0.581,0,385.02,188,25.65,88.4,21.4
126,,,,,,1.7572,0.0,0.581,0,359.29,188,25.65,95.6,15.7
146,,,,,,1.5166,0.0,0.871,0,169.27,403,19.58,100.0,15.6
149,,,,,,1.5257,0.0,0.871,0,351.85,403,19.58,94.9,15.4
153,,,,,,1.6232,0.0,0.871,0,261.95,403,19.58,98.5,19.4
156,,,,,,1.7364,0.0,0.871,0,88.63,403,19.58,94.0,13.1
158,,,,,,1.7573,0.0,0.605,0,353.89,403,19.58,100.0,24.3
159,,,,,,1.7659,0.0,0.871,0,364.31,403,19.58,100.0,23.3
161,,,,,,1.9709,0.0,0.605,0,374.43,403,19.58,90.8,50.0
165,,,,,,2.2834,0.0,0.605,0,240.16,403,19.58,93.0,25.0
166,,,,,,2.0459,0.0,0.605,0,369.3,403,19.58,96.2,50.0
175,,,,,,3.1323,0.0,0.51,0,390.96,296,4.05,33.1,29.4
176,,,,,,3.5549,0.0,0.51,0,393.23,296,4.05,47.2,23.2
177,,,,,,3.3175,0.0,0.51,0,395.6,296,4.05,73.4,24.6
179,,,,,,2.8289999999999997,0.0,0.488,0,396.9,193,2.46,58.4,37.2
182,,,,,,2.7006,0.0,0.488,0,394.12,193,2.46,92.2,37.9
186,,,,,,3.1992,0.0,0.488,0,392.63,193,2.46,53.6,50.0
213,,,,,,3.9454,0.0,0.489,0,385.81,277,10.59,32.3,28.1
217,,,,,,3.4211,0.0,0.55,0,392.78,276,13.89,85.1,28.7
223,,,,,,3.2721,0.0,0.507,0,396.9,307,6.2,80.8,30.1
225,,,,,,2.8944,0.0,0.504,0,382.0,307,6.2,83.0,50.0
228,,,,,,3.3751,0.0,0.504,0,377.51,307,6.2,17.0,46.7
229,,,,,,3.3751,0.0,0.504,0,380.34,307,6.2,21.4,31.5
233,,,,,,3.6519,0.0,0.507,0,378.95,307,6.2,70.4,48.3
258,,,,,,1.8946,20.0,0.647,0,383.29,264,3.97,100.0,36.0
264,,,,,,1.9301,20.0,0.647,0,387.89,264,3.97,91.6,36.5
267,,,,,,2.4216,20.0,0.575,0,384.54,264,3.97,67.0,50.0
268,,,,,,2.872,20.0,0.575,0,390.3,264,3.97,52.6,43.5
304,,,,,,4.022,33.0,0.47200000000000003,0,393.68,222,2.18,41.1,36.1
308,,,,,,3.3175,0.0,0.544,0,396.9,304,9.9,82.5,22.8
309,,,,,,3.1025,0.0,0.544,0,396.24,304,9.9,76.7,20.3
311,,,,,,2.6403,0.0,0.544,0,396.9,304,9.9,52.8,22.1
315,,,,,,3.945,0.0,0.544,0,396.42,304,9.9,77.7,16.2
319,,,,,,4.0019,0.0,0.544,0,396.23,304,9.9,58.8,21.0
320,,,,,,4.5404,0.0,0.493,0,396.9,287,7.38,52.3,23.8
337,,,,,,5.615,0.0,0.515,0,394.81,224,5.19,59.6,18.5
338,,,,,,4.8122,0.0,0.515,0,396.14,224,5.19,37.3,20.6
360,,,,,,2.5182,0.0,0.77,0,374.56,666,18.1,88.0,25.0
381,,,,,,1.5192,0.0,0.6709999999999999,0,396.9,666,18.1,99.1,10.9
403,,,,,,1.7028,0.0,0.693,0,396.9,666,18.1,96.0,8.3
414,,,,,,1.6582,0.0,0.693,0,88.27,666,18.1,100.0,7.0
418,,,,,,1.8026,0.0,0.679,0,16.45,666,18.1,100.0,8.8
419,,,,,,1.794,0.0,0.718,0,48.45,666,18.1,76.5,8.4
459,,,,,,2.7175,0.0,0.713,0,396.9,666,18.1,84.4,20.0
481,,,,,,3.3317,0.0,0.532,0,393.07,666,18.1,74.9,23.7
487,,,,,,3.1523,0.0,0.583,0,388.22,666,18.1,53.2,20.6
503,,,,,,2.1675,0.0,0.573,0,396.9,273,11.93,91.0,23.9
260,,,,,-1.8871431757252572,2.1121,20.0,0.647,0,392.8,264,3.97,81.8,33.8
266,,,,,-1.8871431757252572,2.1329,20.0,0.647,0,384.07,264,3.97,84.6,30.7
167,,,,,-1.5470145723649098,2.4259,0.0,0.605,0,227.61,403,19.58,79.2,23.8
168,,,,,-1.5470145723649098,2.1,0.0,0.605,0,297.09,403,19.58,96.1,23.8
8,,,,,-1.4222575652151794,6.0821,12.5,0.524,0,386.63,311,7.87,100.0,16.5
216,,,,,-1.0659191906437686,3.1121,0.0,0.55,1,392.8,276,13.89,56.0,23.3
218,,,,,-1.0659191906437686,2.8893,0.0,0.55,1,396.9,276,13.89,93.8,21.5
219,,,,,-1.0659191906437686,3.3633,0.0,0.55,1,393.74,276,13.89,92.4,23.0
178,,,,,-0.9977065355891357,2.9153,0.0,0.51,0,391.27,296,4.05,74.4,29.9
239,,,,,-0.9977065355891357,6.1899,30.0,0.428,0,383.78,300,4.93,42.2,23.3
329,,,,,-0.8901217846286296,5.2146,0.0,0.46,0,375.21,430,3.24,17.2,22.6
330,,,,,-0.8901217846286296,5.8736,0.0,0.46,0,368.57,430,3.24,32.2,19.8
220,,,,,-0.6958295247686671,2.8617,0.0,0.507,1,391.7,307,6.2,88.5,26.7
221,,,,,-0.6958295247686671,3.048,0.0,0.507,1,395.24,307,6.2,91.3,21.7
222,,,,,-0.6958295247686671,3.2721,0.0,0.507,1,390.39,307,6.2,77.7,27.5
234,,,,,-0.6958295247686671,3.6519,0.0,0.507,1,360.2,307,6.2,66.5,29.0
236,,,,,-0.6958295247686671,4.148,0.0,0.507,1,388.45,307,6.2,76.5,25.1
274,,,,,-0.6125179524635898,4.0776,40.0,0.447,1,396.9,254,6.41,32.9,32.4
96,,,,,-0.43559577198681326,3.4952,0.0,0.445,0,391.83,276,2.89,69.6,21.4
318,,,,,-0.2440160109439703,3.5325,0.0,0.544,0,395.21,304,9.9,67.2,23.1
84,,,,,-0.19369326102571494,4.7794,0.0,0.449,0,396.9,247,4.49,48.0,23.9
3,,,,,-0.08999868753999354,6.0622,0.0,0.45799999999999996,0,394.63,222,2.18,45.8,33.4
500,,,,,0.18798563778556404,2.4982,0.0,0.585,0,396.9,391,9.69,79.7,16.8
324,,,,,0.4311029799776722,4.7211,0.0,0.493,0,396.9,287,7.38,40.1,25.0
334,,,,,0.8339166373605564,6.4584,0.0,0.515,0,389.4,224,5.19,38.5,20.7
364,,,,,0.8339166373605564,1.9047,0.0,0.718,1,354.55,666,18.1,82.9,21.9
372,,,,,0.8339166373605564,1.1296,0.0,0.6679999999999999,1,347.88,666,18.1,89.6,50.0
396,,,,,0.8339166373605564,1.6768,0.0,0.693,0,396.9,666,18.1,96.0,12.5
402,,,,,0.8339166373605564,1.639,0.0,0.693,0,376.11,666,18.1,100.0,12.1
483,,,,,0.8339166373605564,4.0983,0.0,0.532,0,392.92,666,18.1,40.3,21.8
105,,,,,1.3686186004260046,2.1069,0.0,0.52,0,394.05,384,8.56,96.7,19.5
13,,,,,1.4512461652389805,4.7075,0.0,0.5379999999999999,0,396.9,307,8.14,61.8,20.4
296,,,,-1.01362878321265,-1.1943938643994008,5.9604,0.0,0.4370000000000001,0,392.85,289,13.92,51.0,27.1
99,,,,-0.8850538985948949,-0.43559577198681326,3.4952,0.0,0.445,0,396.9,276,2.89,62.5,33.2
492,,,,-0.6349098669745089,0.763410225319547,2.1099,0.0,0.609,0,396.9,711,27.74,83.5,20.1
499,,,,-0.39861708872553586,0.18798563778556404,2.3999,0.0,0.585,0,395.77,391,9.69,73.5,17.5
489,,,,-0.3833425107493568,0.763410225319547,1.7554,0.0,0.609,0,344.05,711,27.74,98.3,7.0
102,,,,-0.27396355536165395,1.3686186004260046,2.7147,0.0,0.52,0,70.8,384,8.56,85.4,18.6
130,,,,-0.08119217695825387,1.6215019203667385,2.1185,0.0,0.624,0,395.04,437,21.89,98.9,19.2
322,,,,-0.06578855648130907,0.4311029799776722,4.7211,0.0,0.493,0,396.9,287,7.38,49.9,20.4
209,,,,0.03714723631413203,-0.1423608133519389,3.875,0.0,0.489,1,396.9,277,10.59,100.0,20.0
139,,,,0.14213510198574952,1.6215019203667385,1.6687,0.0,0.624,0,396.9,437,21.89,97.9,17.8
135,,,,0.1533835318355315,1.6215019203667385,2.1107,0.0,0.624,0,394.67,437,21.89,98.2,18.1
257,,,,0.19625344028666689,-1.8871431757252572,1.801,20.0,0.647,0,389.7,264,3.97,86.9,50.0
152,,,,0.4748776549742384,-1.5470145723649098,1.6102,0.0,0.871,1,343.28,403,19.58,88.0,15.3
